,gene_id,disease_count,gene_name,gene_symbol,organism,other_symbols,synonyms
896,6567,20,,,,,
897,7456,20,,,,,
898,2201,20,,,,,
899,1848,20,,,,,
900,6571,20,,,,,
901,6905,20,,,,,
902,4860,20,,,,,
903,6528,20,,,,,
904,6521,20,,,,,
905,788,20,,,,,
906,9915,20,,,,,
907,8302,20,,,,,
908,2203,20,,,,,
909,6888,20,,,,,
910,2707,20,,,,,
911,9378,20,,,,,
912,3251,20,,,,,
913,1285,20,,,,,
914,7474,20,,,,,
915,4983,20,,,,,
916,331,20,,,,,
917,1544,20,,,,,
918,1340,19,,,,,
919,23742,19,,,,,
920,2066,19,,,,,
921,7045,19,,,,,
922,7039,19,,,,,
923,1184,19,,,,,
924,9533,19,,,,,
925,23483,19,,,,,
926,9129,19,,,,,
927,9759,19,,,,,
928,34,19,,,,,
929,29978,19,,,,,
930,8546,19,,,,,
931,4054,19,,,,,
932,291,19,,,,,
933,2911,19,,,,,
934,2920,19,,,,,
935,2184,19,,,,,
936,5396,19,,,,,
937,23314,19,,,,,
938,5950,19,,,,,
939,2979,19,,,,,
940,238,19,,,,,
941,2571,19,,,,,
942,10577,19,,,,,
943,1298,19,,,,,
944,10617,19,,,,,
945,22868,19,,,,,
946,5449,19,,,,,
947,54487,19,,,,,
948,2592,19,,,,,
949,2271,19,,,,,
950,7681,19,,,,,
951,779,19,,,,,
952,2077,19,,,,,
953,5932,19,,,,,
954,581,19,,,,,
955,3664,19,,,,,
956,54361,19,,,,,
957,3689,19,,,,,
958,2538,19,,,,,
959,3725,19,,,,,
960,217,19,,,,,
961,22995,19,,,,,
962,5889,19,,,,,
963,1610,19,,,,,
964,242,19,,,,,
965,3032,19,,,,,
966,9361,19,,,,,
967,24148,19,,,,,
968,240,19,,,,,
969,1188,19,,,,,
970,3596,19,,,,,
971,6628,19,,,,,
972,1776,19,,,,,
973,1139,19,,,,,
974,4647,19,,,,,
975,488,19,,,,,
976,6440,19,,,,,
977,6101,19,,,,,
978,4868,19,,,,,
979,5111,19,,,,,
980,5172,19,,,,,
981,5160,19,,,,,
982,4688,19,,,,,
983,4968,19,,,,,
984,5296,19,,,,,
985,10280,19,,,,,
986,10752,19,,,,,
987,1145,19,,,,,
988,5995,19,,,,,
989,50,19,,,,,
990,5148,19,,,,,
991,3763,18,,,,,
992,111,18,,,,,
993,931,18,,,,,
994,9935,18,,,,,
995,1021,18,,,,,
996,473,18,,,,,
997,135,18,,,,,
998,4577,18,,,,,
999,6611,18,,,,,
1000,383,18,,,,,
1001,6750,18,,,,,
1002,7849,18,,,,,
1003,3476,18,,,,,
1004,7317,18,,,,,
1005,2934,18,,,,,
1006,5130,18,,,,,
1007,1373,18,,,,,
1008,7259,18,,,,,
1009,715,18,,,,,
1010,3653,18,,,,,
1011,4552,18,,,,,
1012,5566,18,,,,,
1013,7297,18,,,,,
1014,5314,18,,,,,
1015,23435,18,,,,,
1016,9652,18,,,,,
1017,9657,18,,,,,
1018,23592,18,,,,,
1019,26047,18,,,,,
1020,1258,18,,,,,
1021,1259,18,,,,,
1022,10020,18,,,,,
1023,6605,18,,,,,
1024,23394,18,,,,,
1025,1788,18,,,,,
1026,4644,18,,,,,
1027,598,18,,,,,
1028,4214,18,,,,,
1029,43,18,,,,,
1030,10210,18,,,,,
1031,5378,18,,,,,
1032,4057,18,,,,,
1033,51626,18,,,,,
1034,54982,18,,,,,
1035,26121,18,,,,,
1036,3141,18,,,,,
1037,26276,18,,,,,
1038,4117,18,,,,,
1039,2301,18,,,,,
1040,9342,18,,,,,
1041,4256,18,,,,,
1042,4255,18,,,,,
1043,8802,18,,,,,
1044,9786,18,,,,,
1045,2253,18,,,,,
1046,10108,18,,,,,
1047,3918,18,,,,,
1048,54658,18,,,,,
1049,6100,18,,,,,
1050,51119,18,,,,,
1051,23095,18,,,,,
1052,9573,18,,,,,
1053,3084,18,,,,,
1054,1893,18,,,,,
1055,51185,17,,,,,
1056,7915,17,,,,,
1057,2932,17,,,,,
1058,2475,17,,,,,
1059,3146,17,,,,,
1060,9499,17,,,,,
1061,185,17,,,,,
1062,2131,17,,,,,
1063,5582,17,,,,,
1064,332,17,,,,,
1065,801,17,,,,,
1066,1909,17,,,,,
1067,2492,17,,,,,
1068,23568,17,,,,,
1069,6125,17,,,,,
1070,208,17,,,,,
1071,6094,17,,,,,
1072,5592,17,,,,,
1073,2120,17,,,,,
1074,1311,17,,,,,
1075,762,17,,,,,
1076,55703,17,,,,,
1077,2110,17,,,,,
1078,776,17,,,,,
1079,51067,17,,,,,
1080,9531,17,,,,,
1081,3105,17,,,,,
1082,7345,17,,,,,
1083,5626,17,,,,,
1084,2108,17,,,,,
1085,778,17,,,,,
1086,3492,17,,,,,
1087,4703,17,,,,,
1088,7476,17,,,,,
1089,948,17,,,,,
1090,3417,17,,,,,
1091,2294,17,,,,,
1092,10733,17,,,,,
1093,2588,17,,,,,
1094,5422,17,,,,,
1095,8514,17,,,,,
1096,2767,17,,,,,
1097,27445,17,,,,,
1098,443,17,,,,,
1099,5352,17,,,,,
1100,2065,17,,,,,
1101,2710,17,,,,,
1102,23400,17,,,,,
1103,1106,17,,,,,
1104,3914,17,,,,,
1105,2057,17,,,,,
1106,843,17,,,,,
1107,5627,17,,,,,
1108,1678,17,,,,,
1109,2799,17,,,,,
1110,26119,17,,,,,
1111,154,17,,,,,
1112,9791,17,,,,,
1113,4038,17,,,,,
1114,1991,17,,,,,
1115,8622,17,,,,,
1116,4094,17,,,,,
1117,1436,17,,,,,
1118,23141,17,,,,,
1119,4129,17,,,,,
1120,871,17,,,,,
1121,4193,17,,,,,
1122,1545,17,,,,,
1123,1889,17,,,,,
1124,54840,17,,,,,
1125,710,17,,,,,
1126,8050,17,,,,,
1127,29108,17,,,,,
1128,1001,17,,,,,
1129,9702,17,,,,,
1130,50940,17,,,,,
1131,1815,17,,,,,
1132,6303,17,,,,,
1133,4511,17,,,,,
1134,283,17,,,,,
1135,2348,17,,,,,
1136,51422,17,,,,,
1137,1605,17,,,,,
1138,29072,16,,,,,
1139,10243,16,,,,,
1140,9445,16,,,,,
1141,1778,16,,,,,
1142,2581,16,,,,,
1143,5048,16,,,,,
1144,2187,16,,,,,
1145,6439,16,,,,,
1146,176,16,,,,,
1147,2677,16,,,,,
